Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Серия,Модель,Материал сиденья,Цвет обивки,Подлокотники,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг),Рост(см),Функция кресла-качалки,Ролики,Страна производитель,Гарантия,Вес,Weight
,,,,,,,,,,,,,,,,,,,,,,
"OH:FD99:N/1.jpg///OH:FD99:N/2.jpg///OH:FD99:N/3.jpg///OH:FD99:N/4.jpg///OH:FD99:N/5.jpg///OH:FD99:N/6.jpg///OH:FD99:N/7.jpg///OH:FD99:N/8.jpg///OH:FD99:N/9.jpg
",Игровые кресла///DXRacer,OH/FD99/N,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/N,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/N,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:EN/1.jpg///OH:FD99:EN/2.jpg///OH:FD99:EN/3.jpg
",Игровые кресла///DXRacer,OH/FD99/EN,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/EN,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/EN,Игровое,F-серия «Formula».,FD99,PU-кожа,Зелёный/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:NE/1.jpg///OH:FD99:NE/2.jpg///OH:FD99:NE/3.jpg
",Игровые кресла///DXRacer,OH/FD99/NE,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/NE,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/NE,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Зелёный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:NW/1.jpg///OH:FD99:NW/2.jpg///OH:FD99:NW/3.jpg
",Игровые кресла///DXRacer,OH/FD99/NW,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/NW,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/NW,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Белый,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:NR/1.jpg///OH:FD99:NR/2.jpg///OH:FD99:NR/3.jpg
",Игровые кресла///DXRacer,OH/FD99/NR,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/NR,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/NR,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Красный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:NB/1.jpg///OH:FD99:NB/2.jpg///OH:FD99:NB/3.jpg
",Игровые кресла///DXRacer,OH/FD99/NB,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/NB,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/NB,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Синий,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:NO/1.jpg///OH:FD99:NO/2.jpg///OH:FD99:NO/3.jpg
",Игровые кресла///DXRacer,OH/FD99/NO,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/NO,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/NO,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Оранжевый,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:RN/1.jpg///OH:FD99:RN/2.jpg///OH:FD99:RN/3.jpg
",Игровые кресла///DXRacer,OH/FD99/RN,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/RN,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/RN,Игровое,F-серия «Formula».,FD99,PU-кожа,Красный/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
OH:FD99:BN/1.jpg///OH:FD99:BN/2.jpg///OH:FD99:BN/3.jpg,Игровые кресла///DXRacer,OH/FD99/BN,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/BN,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/BN,Игровое,F-серия «Formula».,FD99,PU-кожа,Синий/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:WN/1.jpg///OH:FD99:WN/2.jpg///OH:FD99:WN/3.jpg
",Игровые кресла///DXRacer,OH/FD99/WN,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/WN,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/WN,Игровое,F-серия «Formula».,FD99,PU-кожа,Белый/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:ON/1.jpg///OH:FD99:ON/2.jpg///OH:FD99:ON/3.jpg
",Игровые кресла///DXRacer,OH/FD99/ON,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/ON,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/ON,Игровое,F-серия «Formula».,FD99,PU-кожа,Оранжевый/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
OH:FD99:YN/1.jpg///OH:FD99:YN/2.jpg///OH:FD99:YN/3.jpg,Игровые кресла///DXRacer,OH/FD99/YN,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/YN,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/YN,Игровое,F-серия «Formula».,FD99,PU-кожа,Желтый/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:NY/1.jpg///OH:FD99:NY/2.jpg///OH:FD99:NY/3.jpg
",Игровые кресла///DXRacer,OH/FD99/NY,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/NY,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/NY,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Желтый,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:CN/1.jpg///OH:FD99:CN/2.jpg///OH:FD99:CN/3.jpg
",Игровые кресла///DXRacer,OH/FD99/CN,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/CN,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/CN,Игровое,F-серия «Formula».,FD99,PU-кожа,Коричневый/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
"OH:FD99:NC/1.jpg///OH:FD99:NC/2.jpg///OH:FD99:NC/3.jpg
",Игровые кресла///DXRacer,OH/FD99/NC,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/NC,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/NC,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Коричневый,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
OH:FD99:VN/1.jpg///OH:FD99:VN/2.jpg///OH:FD99:VN/3.jpg,Игровые кресла///DXRacer,OH/FD99/VN,DXRacer,Игровое компьютерное кресло DXRACER Formula OH/FD99/VN,"Серия Formula – младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.

Обивка кресел серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.

Кресло серии F будет отличным подарком для девушки или подростка.",OH/FD99/VN,Игровое,F-серия «Formula».,FD99,PU-кожа,Фиолетовый/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг"
