Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Материал обивки,Цвет обивки,Подлокотники,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг,Функция кресла-качалки,Страна производитель,Гарантия,Вес,Вес в упаковке,Размер упаковки,Weight,ProductCodeToFind,Existance,Diller price,Max price,Shop price,Recommend price,Existance for filters,Page title,Meta description,Meta keywords

"GM-GCHE2BR/1.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (red);}///GM-GCHE2BR/2.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (red);}///GM-GCHE2BR/3.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (red);}///GM-GCHE2BR/4.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (red);}///GM-GCHE2BR/5.png
#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (red);}",Кресла для геймеров///Кресла Gamdias,GM-GCHE2BR ,GAMDIAS,Игровое компьютерное кресло Gamdias HERCULES E2 (red),"<p><strong>Gamdias Hercules E2</strong> это эргономичное игровое кресло, обеспечивающее максимальный комфорт. Кресло имеет подлокотники 2D, прочную стальную раму и подушки под шею и поясницу. Ортопедическая конструкция - для тех, кто любит играть много часов в день.
</p>
<ul>
	<li>Широкое сиденье, высокая спинка</li>
	<li>Стальная рама</li>
	<li>Рассчитано на вес до 100 кг и рост до 180 см</li>
	<li>Экокожа нового поколения – мягкая, дышащая и ""не потеющая""</li>
	<li>Наполнитель высокой плотности</li>
	<li>Настройка угла наклона спинки, высоты сиденья</li>
	<li>Газлифт 4 класса</li>
</ul>",GM-GCHE2BR ,Игровое,Экокожа,Красный/Черный,Нерегулируемые,Высокая,до 150 градусов,до 100кг,Есть,Китай,12 месяцев,18 кг,"21,5 кг",88 х 65 х 33 см,"21,5 кг",HERCULES E2-BR,0,10492,13990,12060,12060,0,Купить Игровое компьютерное кресло Gamdias HERCULES E2 (red)(hercules e2-br) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Gamdias HERCULES E2 (red) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"GM-GCHE1BR/1.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (red);}///GM-GCHE1BR/2.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (red);}///GM-GCHE1BR/3.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (red);}///GM-GCHE1BR/4.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (red);}///GM-GCHE1BR/5.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (red);}///GM-GCHE1BR/6.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (red);}///GM-GCHE1BR/7.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (red);}///GM-GCHE1BR/8.jpg
#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (red);}",Кресла для геймеров///Кресла Gamdias,GM-GCHE1BR ,GAMDIAS,Игровое компьютерное кресло Gamdias HERCULES E1 (red),"<p>На этом игровом кресле <strong>GAMDIAS HERCULES E1</strong> вы можете играть весь день без намека на усталость.
</p>
<ul>
	<li>Настраиваемая RGB-подсветка, 10 различных эффектов</li>
	<li>Ортопедическая конструкция - для тех, кто любит играть много часов в день</li>
	<li>Широкое сиденье, высокая спинка</li>
	<li>Стальной каркас</li>
	<li>Рассчитано на вес до 120 кг и рост до 195 см</li>
	<li>Экокожа нового поколения</li>
	<li>Наполнитель высокой плотности</li>
	<li>Подлокотники 2D, мягкие</li>
	<li>Настройка угла наклона спинки, высоты сиденья, уровня сопротивления качанию</li>
	<li>Газлифт 4го класса</li>
</ul>
<p><strong>Кресло Hercules E1 </strong>полностью настраивается под индивидуальные предпочтения пользователя и обеспечивает максимальный комфорт при длительном использовании.
</p>",GM-GCHE1BR ,Игровое,Экокожа,Красный/Черный,2D,Высокая,до 150 градусов,до 120кг,Есть,Китай,12 месяцев,20 кг,"23,5 кг",	88 х 65 х 33 см,"23,5 кг",HERCULES E1-BR RGB,30,12742,16990,14650,14650,30,Купить Игровое компьютерное кресло Gamdias HERCULES E1 (red)(hercules e1-br rgb) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Gamdias HERCULES E1 (red) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"GM-GCHE2B/1.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (black);}///GM-GCHE2B/2.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (black);}///GM-GCHE2B/3.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (black);}///GM-GCHE2B/4.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (black);}///GM-GCHE2B/5.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (black);}///GM-GCHE2B/6.png
#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E2 (black);}",Кресла для геймеров///Кресла Gamdias,GM-GCHE2B,GAMDIAS,Игровое компьютерное кресло Gamdias HERCULES E2 (black),"<p><strong>Gamdias Hercules E2</strong> это эргономичное игровое кресло, обеспечивающее максимальный комфорт. Кресло имеет подлокотники 2D, прочную стальную раму и подушки под шею и поясницу. Ортопедическая конструкция - для тех, кто любит играть много часов в день.
</p>
<ul>
	<li>Широкое сиденье, высокая спинка</li>
	<li>Стальная рама</li>
	<li>Рассчитано на вес до 100 кг и рост до 180 см</li>
	<li>Экокожа нового поколения – мягкая, дышащая и ""не потеющая""</li>
	<li>Наполнитель высокой плотности</li>
	<li>Настройка угла наклона спинки, высоты сиденья</li>
	<li>Газлифт 4 класса</li>
</ul>",GM-GCHE2B,Игровое,Экокожа,Черный,Нерегулируемые,Высокая,до 150 градусов,до 100кг,Есть,Китай,12 месяцев,18 кг,"21,5 кг",88 х 65 х 33 см,"21,5 кг",HERCULES E2-B,30,10492,13990,12060,12060,30,Купить Игровое компьютерное кресло Gamdias HERCULES E2 (black)(hercules e2-b) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Gamdias HERCULES E2 (black) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"GM-GCHE1B/1.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (black);}///GM-GCHE1B/2.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (black);}///GM-GCHE1B/3.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (black);}///GM-GCHE1B/4.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (black);}///GM-GCHE1B/5.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (black);}///GM-GCHE1B/6.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (black);}///GM-GCHE1B/7.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (black);}///GM-GCHE1B/8.jpg
#{[ru]:Игровое компьютерное кресло Gamdias HERCULES E1 (black);}",Кресла для геймеров///Кресла Gamdias,GM-GCHE1B,GAMDIAS,Игровое компьютерное кресло Gamdias HERCULES E1 (black),"<p>На этом игровом кресле <strong>GAMDIAS HERCULES E1</strong> вы можете играть весь день без намека на усталость.
</p>
<ul>
	<li>Настраиваемая RGB-подсветка, 10 различных эффектов</li>
	<li>Ортопедическая конструкция - для тех, кто любит играть много часов в день</li>
	<li>Широкое сиденье, высокая спинка</li>
	<li>Стальной каркас</li>
	<li>Рассчитано на вес до 120 кг и рост до 195 см</li>
	<li>Экокожа нового поколения</li>
	<li>Наполнитель высокой плотности</li>
	<li>Подлокотники 2D, мягкие</li>
	<li>Настройка угла наклона спинки, высоты сиденья, уровня сопротивления качанию</li>
	<li>Газлифт 4го класса</li>
</ul>
<p><strong>Кресло Hercules E1 </strong>полностью настраивается под индивидуальные предпочтения пользователя и обеспечивает максимальный комфорт при длительном использовании.
</p>",GM-GCHE1B,Игровое,Экокожа,Черный,2D,Высокая,до 150 градусов,до 120 кг,Есть,Китай,12 месяцев,20 кг,"23,5 кг",88 х 65 х 33 см,"23,5 кг",HERCULES E1-B RGB,30,12742,16990,14650,14650,30,Купить Игровое компьютерное кресло Gamdias HERCULES E1 (black)(hercules e1-b rgb) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Gamdias HERCULES E1 (black) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"GM-GCHM1BR/1.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (red);}///GM-GCHM1BR/2.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (red);}///GM-GCHM1BR/3.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (red);}///GM-GCHM1BR/4.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (red);}///GM-GCHM1BR/5.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (red);}///GM-GCHM1BR/6.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (red);}///GM-GCHM1BR/7.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (red);}///GM-GCHM1BR/8.jpg
#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (red);}",Кресла для геймеров///Кресла Gamdias,GM-GCHM1BR,GAMDIAS,Игровое компьютерное кресло Gamdias HERCULES M1 (red),"<p><strong>GAMDIAS HERCULES M1</strong> - это идеальное кресло для профессиональных геймеров. Благодаря высококачественным материалам, надежности и яркому дизайну, оно станет вашим любимым креслом.
</p>
<ul>
	<li>Настраиваемая RGB-подсветка, 10 различных эффектов</li>
	<li>Ортопедическая конструкция - для тех, кто любит играть много часов в день</li>
	<li>Широкое сиденье, высокая спинка</li>
	<li>Стальной каркас</li>
	<li>Рассчитано на вес до 200 кг и рост до 200 см</li>
	<li>Экокожа нового поколения – мягкая, дышащая и «не потеющая»</li>
	<li>Наполнитель высокой плотности</li>
	<li>Подлокотники 3D, карбоновые</li>
	<li>Механизм «мультиблок»</li>
	<li>Настройка угла наклона спинки, высоты сиденья, уровня сопротивления качанию</li>
	<li>Газлифт 4го класса</li>
</ul>
<p>На этом игровом кресле Gamdias Hercules M1 вы можете играть весь день, не чувствуя усталости. Мягкие спинка и сиденье обеспечивают удобную поддержку. Кресло полностью настраивается под пользовательские предпочтения, а также имеет эффектную RGB-подсветку.
</p>",GM-GCHM1BR,Игровое,Экокожа,Черный/Красный,3D,Высокая,до 150 градусов,до 200 кг,Есть,Китай,12 месяцев,"23,5 кг","26,7 кг",88 х 65 х 33 см,"26,7 кг",HERCULES M1-BR AIR RGB,20,17992,23990,20690,20690,20,Купить Игровое компьютерное кресло Gamdias HERCULES M1 (red)(hercules m1-br air rgb) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Gamdias HERCULES M1 (red) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"GM-GCHM1B/1.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (black);}///GM-GCHM1B/2.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (black);}///GM-GCHM1B/3.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (black);}///GM-GCHM1B/4.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (black);}///GM-GCHM1B/5.png#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (black);}///GM-GCHM1B/6.jpg#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (black);}///GM-GCHM1B/7.jpg
#{[ru]:Игровое компьютерное кресло Gamdias HERCULES M1 (black);}",Кресла для геймеров///Кресла Gamdias,GM-GCHM1B,GAMDIAS,Игровое компьютерное кресло Gamdias HERCULES M1 (black),"<p><strong>GAMDIAS HERCULES M1</strong> - это идеальное кресло для профессиональных геймеров. Благодаря высококачественным материалам, надежности и яркому дизайну, оно станет вашим любимым креслом.
</p>
<ul>
	<li>Настраиваемая RGB-подсветка, 10 различных эффектов</li>
	<li>Ортопедическая конструкция - для тех, кто любит играть много часов в день</li>
	<li>Широкое сиденье, высокая спинка</li>
	<li>Стальной каркас</li>
	<li>Рассчитано на вес до 200 кг и рост до 200 см</li>
	<li>Экокожа нового поколения – мягкая, дышащая и «не потеющая»</li>
	<li>Наполнитель высокой плотности</li>
	<li>Подлокотники 3D, карбоновые</li>
	<li>Механизм «мультиблок»</li>
	<li>Настройка угла наклона спинки, высоты сиденья, уровня сопротивления качанию</li>
	<li>Газлифт 4го класса</li>
</ul>
<p>На этом игровом кресле Gamdias Hercules M1 вы можете играть весь день, не чувствуя усталости. Мягкие спинка и сиденье обеспечивают удобную поддержку. Кресло полностью настраивается под пользовательские предпочтения, а также имеет эффектную RGB-подсветку.
</p>",GM-GCHM1B,Игровое,Экокожа,Черный,3D,Высокая,до 150 градусов,до 200 кг,Есть,Китай,12 месяцев,"23,5 кг","26,7 кг",88 х 65 х 33 см,"26,7 кг",HERCULES M1-B AIR RGB,20,17992,23990,20690,20690,20,Купить Игровое компьютерное кресло Gamdias HERCULES M1 (black)(hercules m1-b air rgb) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Gamdias HERCULES M1 (black) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
E3-B/1.png#{[ru]:Игровое кресло HERCULES E3 RGB (black);}///E3-B/2.png#{[ru]:Игровое кресло HERCULES E3 RGB (black);}///E3-B/3.png#{[ru]:Игровое кресло HERCULES E3 RGB (black);}///E3-B/4.png#{[ru]:Игровое кресло HERCULES E3 RGB (black);}///E3-B/5.png#{[ru]:Игровое кресло HERCULES E3 RGB (black);},Кресла для геймеров///Кресла Gamdias,E3-B,GAMDIAS,Игровое кресло HERCULES E3 RGB (black),"<p> <strong>Gamdias Hercules E3</strong> - подарит вам длительные часы комфорта даже при затяжной игре.
</p>
<ul>
	<li>Настраиваемая RGB-подсветка</li>
	<li>Ортопедическая конструкция - для тех, кто любит играть много часов в день</li>
	<li>Нейлоновая крестовина</li>
	<li>Рассчитано на вес до 150 кг и рост до 180 см</li>
	<li>Экокожа нового поколения</li>
	<li>Наполнитель высокой плотности</li>
	<li>Фиксированные подлокотники, мягкие</li>
	<li>Настройка высоты, механизма качания</li>
	<li>Газлифт 4го класса</li>
</ul>",E3-B,Игровое,Экокожа,Черный,Фиксированные,Высокая,до 130 градусов,до 150 кг,Есть,Китай,12 месяцев,20 кг,"23,5 кг",95 х 65 х 33 см,"23,5 кг",HERCULES E3-B RGB,30,11992,15990,13790,13790,30,Купить Игровое кресло HERCULES E3 RGB (black)(hercules e3-b rgb) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое кресло HERCULES E3 RGB (black) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
E3-BR/1.png#{[ru]:Игровое кресло HERCULES E3 RGB (black-red);}///E3-BR/2.png#{[ru]:Игровое кресло HERCULES E3 RGB (black-red);}///E3-BR/3.png#{[ru]:Игровое кресло HERCULES E3 RGB (black-red);}///E3-BR/4.png#{[ru]:Игровое кресло HERCULES E3 RGB (black-red);},Кресла для геймеров///Кресла Gamdias,E3-BR,GAMDIAS,Игровое кресло HERCULES E3 RGB (black-red),"<p> <strong>Gamdias Hercules E3</strong> - подарит вам длительные часы комфорта даже при затяжной игре.
</p>
<ul>
	<li>Настраиваемая RGB-подсветка</li>
	<li>Ортопедическая конструкция - для тех, кто любит играть много часов в день</li>
	<li>Нейлоновая крестовина</li>
	<li>Рассчитано на вес до 150 кг и рост до 180 см</li>
	<li>Экокожа нового поколения</li>
	<li>Наполнитель высокой плотности</li>
	<li>Фиксированные подлокотники, мягкие</li>
	<li>Настройка высоты, механизма качания</li>
	<li>Газлифт 4го класса</li>
</ul>",E3-BR,Игровое,Экокожа,Черный/Красный,Фиксированные,Высокая,до 130 градусов,до 150 кг,Есть,Китай,12 месяцев,20 кг,"23,5 кг",95 х 65 х 33 см,"23,5 кг",HERCULES E3-BR RGB,,,,,,,,,
E3-BR/1.png#{[ru]:Игровое кресло HERCULES E3 RGB (black-red);}///E3-BR/2.png#{[ru]:Игровое кресло HERCULES E3 RGB (black-red);}///E3-BR/3.png#{[ru]:Игровое кресло HERCULES E3 RGB (black-red);}///E3-BR/4.png#{[ru]:Игровое кресло HERCULES E3 RGB (black-red);},Кресла для геймеров///Кресла Gamdias,E3-BR,GAMDIAS,Игровое кресло HERCULES E3 RGB (black-red),"<p> <strong>Gamdias Hercules E3</strong> - подарит вам длительные часы комфорта даже при затяжной игре.
</p>
<ul>
	<li>Настраиваемая RGB-подсветка</li>
	<li>Ортопедическая конструкция - для тех, кто любит играть много часов в день</li>
	<li>Нейлоновая крестовина</li>
	<li>Рассчитано на вес до 150 кг и рост до 180 см</li>
	<li>Экокожа нового поколения</li>
	<li>Наполнитель высокой плотности</li>
	<li>Фиксированные подлокотники, мягкие</li>
	<li>Настройка высоты, механизма качания</li>
	<li>Газлифт 4го класса</li>
</ul>",E3-BR,Игровое,Экокожа,Черный/Красный,Фиксированные,Высокая,до 130 градусов,до 150 кг,Есть,Китай,12 месяцев,20 кг,"23,5 кг",95 х 65 х 33 см,"23,5 кг",HERCULES E3-BR RGB,30,11992,15990,13790,13790,30,Купить Игровое кресло HERCULES E3 RGB (black-red)(hercules e3-br rgb) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое кресло HERCULES E3 RGB (black-red) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
