Detailed image,Бренд,Category,Product code,Название,Артикул,Описание,Материал оправы,Форма оправы,Цвет линз,Цвет оправы,ProductCodeToFind,Existance,Diller price,Max price,Shop price,Recommend price,Existance for filters,Page title,Meta description,Meta keywords

"BLI-00126/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00126, Onyx Ice;}///BLI-00126/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00126, Onyx Ice;}///BLI-00126/3.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00126, Onyx Ice;}",Gunnar,Очки для геймеров///Gunnar,BLI-00126,"Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00126, Onyx Ice",BLI-00126,"Защити свои глаза с помощью HEROES OF THE STORM SIEGE. Очки SIEGE имеют дужки со сменными насадками Sockets™, что сделает очки полностью интегрированными в любимую игру HEROES OF THE STORM. Плоские стальные дужки позволяют вам играть или работать вместе с вашими наушниками. Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя. Материал оправы характеризуется высокой прочностью.

Характеристики

Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 60 мм
Длина дужки: 140 мм
Мостик носа: 17 мм
Вес: 35 гр.
Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства.

Компоненты технологии I-AMP:

Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз.
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений,
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света.
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин.
Ключевые особенности:

Специальная легкая монолитная передней часть оправы создает комфорт при работе.
Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя.
Стальная конструкция дужек и шарнирный механизм крепления делают очки прочными при активном использовании.
Немного изогнутые дужки будут плотно прижимать очки к голове, и очки не будут спадать во время использования.
Гибкие дужки позволят эргономично носить очки людям с разными типами лиц.
Широкие линзы создадут комфортное панорамное поле обзора.
Сменные насадки Sockets™ на дужки (сокеты) придают вашим очкам неповторимый стиль игры HEROES OF THE STORM.
Плоские дужки позволяют использовать очки вместе с наушниками, не ощущая дискомфорта.",металл,спортивная,янтарный,черный,,20,5910,7490.00,6790,6790,20,"Купить Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00126, Onyx Ice(bli-00126) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00126, Onyx Ice ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"BLI-00128/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00128, Onyx Fire;}///BLI-00128/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00128, Onyx Fire;}///BLI-00128/3.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00128, Onyx Fire;}",Gunnar,Очки для геймеров///Gunnar,BLI-00128,"Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00128, Onyx Fire", BLI-00128,"Защити свои глаза с помощью HEROES OF THE STORM SIEGE. Очки SIEGE имеют дужки со сменными насадками Sockets™, что сделает очки полностью интегрированными в любимую игру HEROES OF THE STORM. Плоские стальные дужки позволяют вам играть или работать вместе с вашими наушниками. Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя. Материал оправы характеризуется высокой прочностью. 
Характеристики 
Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 60 мм
Длина дужки: 140 мм
Мостик носа: 17 мм
Вес: 35 гр.

Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства. 
Компоненты технологии I-AMP: 
Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз. 
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений, 
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света. 
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин. 

Ключевые особенности: 
Специальная легкая монолитная передней часть оправы создает комфорт при работе. 
Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя. 
Стальная конструкция дужек и шарнирный механизм крепления делают очки прочными при активном использовании. 
Немного изогнутые дужки будут плотно прижимать очки к голове, и очки не будут спадать во время использования. 
Гибкие дужки позволят эргономично носить очки людям с разными типами лиц. 
Широкие линзы создадут комфортное панорамное поле обзора. 
Сменные насадки Sockets™ на дужки (сокеты) придают вашим очкам неповторимый стиль игры HEROES OF THE STORM. 
Плоские дужки позволяют использовать очки вместе с наушниками, не ощущая дискомфорта. ",металл,спортивная,янтарный,черный,,20,5910,7490.00,6790,6790,20,"Купить Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00128, Onyx Fire(bli-00128) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR Blizzard Siege BLI-00128, Onyx Fire ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"BLI-00127/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Strike BLI-00127, Onyx Fire;}///BLI-00127/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Strike BLI-00127, Onyx Fire;}///BLI-00127/3.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Blizzard Strike BLI-00127, Onyx Fire;}",Gunnar,Очки для геймеров///Gunnar,BLI-00127,"Очки для компьютера (для геймеров) GUNNAR Blizzard Strike BLI-00127, Onyx Fire",BLI-00127,"Очки HEROES OF THE STORM STRIKE созданы для неисправимых геймеров. Очки STRIKE имеют дужки со сменными насадками Sockets™, что сделает очки полностью интегрированными в любимую игру HEROES OF THE STORM. Плоские стальные дужки позволяют вам играть или работать вместе с вашими наушниками. Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя. Материал оправы характеризуется высокой прочностью. 
Характеристики 
Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 60 мм
Длина дужки: 140 мм
Мостик носа: 17 мм
Вес: 35 гр.

Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства. 
Компоненты технологии I-AMP: 
Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз. 
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений, 
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света. 
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин. 

Ключевые особенности: 
Специальная легкая монолитная передней часть оправы создает комфорт при работе. 
Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя. 
Стальная конструкция дужек и шарнирный механизм крепления делают очки прочными при активном использовании. 
Немного изогнутые дужки будут плотно прижимать очки к голове, и очки не будут спадать во время использования. 
Гибкие дужки позволят эргономично носить очки людям с разными типами лиц. 
Широкие линзы создадут комфортное панорамное поле обзора. 
Сменные насадки Sockets™ на дужки (сокеты) придают вашим очкам неповторимый стиль игры HEROES OF THE STORM. 
Плоские дужки позволяют использовать очки вместе с наушниками, не ощущая дискомфорта. ",металл,спортивная,янтарный,черный,,20,5910,7490.00,6790,6790,20,"Купить Очки для компьютера (для геймеров) GUNNAR Blizzard Strike BLI-00127, Onyx Fire(bli-00127) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR Blizzard Strike BLI-00127, Onyx Fire ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"RZR-30003/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Cerberus designed by Razer RZR-30003, Onyx;}///RZR-30003/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Cerberus designed by Razer RZR-30003, Onyx;}///RZR-30003/3.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Cerberus designed by Razer RZR-30003, Onyx;}",Gunnar,Очки для геймеров///Gunnar,RZR-30003,"Очки для компьютера (для геймеров) GUNNAR Cerberus designed by Razer RZR-30003, Onyx",RZR-30003,"Очки CERBERUS созданы из лучших материалов, которые существуют. Игровые очки Cerberus Designed by Razer удачно сочетают в себе классический стиль передней части оправы с современным принтом на дужках. Дужки очков сделаны из магниево-алюминиевого сплава с прорезиненными вставками, что делает оправу одновременно эргономичной при ношении и надежной в использовании. Добавим уникальную технологию линз I-AMP, и получим идеальную вещь для повышения вашей зрительной производительности. 
Характеристики 
Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 58 мм
Длина дужки: 137 мм
Мостик носа: 18 мм
Вес: 35 гр.

Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства. 
Компоненты технологии I-AMP: 
Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз. 
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений, 
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света. 
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин. 

Ключевые особенности: 
Надежная прочность оправы обеспечивается используемым материалом, а именно магниево-алюминиевым сплавом. 
Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя. 
Дужки с возможностью внешнего люфта обеспечивают комфортную посадку очков людям с разными типами лиц. 
Прорезиненные дужки будут надежно удерживать очки на голове, и не будут спадать во время использования. 
Плавные линии оправы у носа и сбалансировано-распределенный вес гарантируют комфорт при длительном ношении без точек давления на переносицу и усталости глаз. 
Микрофиксаторы надежно удерживают линзы, не создавая давления или искажения оптики. 
Широкие линзы создадут комфортное панорамное поле обзора высокого разрешения. ",металл,спортивная,янтарный,черный,,20,6310,7990.00,7250,7250,20,"Купить Очки для компьютера (для геймеров) GUNNAR Cerberus designed by Razer RZR-30003, Onyx(rzr-30003) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR Cerberus designed by Razer RZR-30003, Onyx ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"DSM-05101/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Desmo DSM-05101, Onyx Orange;}///DSM-05101/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Desmo DSM-05101, Onyx Orange;}///DSM-05101/3.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Desmo DSM-05101, Onyx Orange;}",Gunnar,Очки для геймеров///Gunnar,DSM-05101,"Очки для компьютера (для геймеров) GUNNAR Desmo DSM-05101, Onyx Orange",DSM-05101,"Очки для геймеров DESMO имеют уникальный безоправный дизайн для минимизации отвлекающих факторов. Данный дизайн обеспечивает широкое поле зрения, что позволяет пользователю полностью сосредоточиться на экране. Обтекаемая форма в сочетании с плоскими дужками и регулируемыми носовыми упорами подойдет для разных типов лиц. Дополнительный плюс для геймеров –ультраплоские дужки, которые не будут мешать при совместном использовании с наушниками. DESMO с линзами по технологии I-AMP разработаны, чтобы улучшить визуальную эффективность, выносливость и восстановление во время игры. 
Характеристики 
Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 66 мм
Длина дужки: 125 мм
Мостик носа: 17 мм
Вес: 35 гр.

Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства. 
Компоненты технологии I-AMP: 
Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз. 
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений, 
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света. 
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин. 

Ключевые особенности: 
Специальная многослойная краска передней части оправы создает богатую глубину цвета и долговечность. 
Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя. 
Стальная конструкция дужек и шарнирный механизм крепления делают очки прочными при активном использовании. 
Немного изогнутые дужки плотно прижимают очки к голове, и очки не будут спадать во время использования. 
Гибкие дужки позволяют эргономично носить очки людям с разными типами лиц. 
Широкие линзы создают комфортное панорамное поле обзора. ",металл,спортивная,янтарный,оранжевый,,20,5910,7490.00,6790,6790,20,"Купить Очки для компьютера (для геймеров) GUNNAR Desmo DSM-05101, Onyx Orange(dsm-05101) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR Desmo DSM-05101, Onyx Orange ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"RZR-30006/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR FPS designed by Razer RZR-30006, Onyx;}///RZR-30006/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR FPS designed by Razer RZR-30006, Onyx;}///RZR-30006/3.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR FPS designed by Razer RZR-30006, Onyx;}",Gunnar,Очки для геймеров///Gunnar,RZR-30006,"Очки для компьютера (для геймеров) GUNNAR FPS designed by Razer RZR-30006, Onyx",RZR-30006,"Очки Razer FPS –это новая модель очков для геймеров, созданных при сотрудничестве с Razer. Современный дизайн оправы, в сочетании с фирменными цветами Razer и вырезанными буквами RAZER на дужках, выглядит очень стильно, а самое главное Razer FPS легкие и комфортные при ношении. Оправа сделана из высокопрочной стали с прорезиненными вставками, что делает оправу одновременно эргономичной при ношении совместно с наушниками, а регулируемые силиконовые носовые упоры позволят вам подогнать оправу под ваш тип лица. C очками для геймеров FPS вы будете побеждать своих противников намного эффективнее. 
Характеристики 
Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 56 мм
Длина дужки: 135 мм
Мостик носа: 19 мм
Вес: 35 гр.

Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства. 
Компоненты технологии I-AMP: 
Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз. 
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений, 
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света. 
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин. 

Ключевые особенности: 
Надежная прочность оправы обеспечивается используемым материалом, а именно сверхпрочной сталью; 
Гибкие силиконовые носовые упоры позволяют подогнать оправу под себя; 
Плоские дужки обеспечивают комфортную посадку очков людям с разными типами лиц; 
Прорезиненные дужки будут надежно удерживать очки на голове, и не будут спадать во время использования; 
Плавные линии оправы у носа и сбалансировано-распределенный вес гарантируют комфорт при длительном ношении без точек давления на переносицу и усталости глаз; 
Микрофиксаторы надежно удерживают линзы, не создавая давления или искажения оптики; 
Широкие линзы создадут комфортное панорамное поле обзора высокого разрешения. 
",металл,прямоугольная,янтарный,черный,,20,6310,7990.00,7250,7250,20,"Купить Очки для компьютера (для геймеров) GUNNAR FPS designed by Razer RZR-30006, Onyx(rzr-30006) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR FPS designed by Razer RZR-30006, Onyx ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"INT-06301/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept INT-06301, Kryptonite;}///INT-06301/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept INT-06301, Kryptonite;}///INT-06301/3.jpg
#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept INT-06301, Kryptonite;}",Gunnar,Очки для геймеров///Gunnar,INT-06301,"Очки для компьютера (для геймеров) GUNNAR Intercept INT-06301, Kryptonite",INT-06301,"Компьютерные очки GUNNAR Intercept обладают универсальной оправой, которая подойдёт большинству людей. 
Характеристики 
Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 59 мм
Длина дужки: 132 мм
Мостик носа: 18 мм
Вес: 35 гр.

Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства. 
Компоненты технологии I-AMP: 
Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз. 
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений, 
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света. 
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин. ",пластик,вайфарер,янтарный,зеленый,,20,4960,6290.00,5700,5700,20,"Купить Очки для компьютера (для геймеров) GUNNAR Intercept INT-06301, Kryptonite(int-06301) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR Intercept INT-06301, Kryptonite ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"INT-07001/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept 24K INT-07001, Dark Ale;}///INT-07001/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept 24K INT-07001, Dark Ale;}///INT-07001/3.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept 24K INT-07001, Dark Ale;}",Gunnar,Очки для геймеров///Gunnar,INT-07001,"Очки для компьютера (для геймеров) GUNNAR Intercept 24K INT-07001, Dark Ale",INT-07001,"Компьютерные очки GUNNAR Intercept обладают универсальной оправой, которая подойдёт большинству людей. 
Характеристики 
Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 59 мм
Длина дужки: 132 мм
Мостик носа: 18 мм
Вес: 35 гр.

Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства. 
Компоненты технологии I-AMP: 
Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз. 
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений, 
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света. 
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин. ",пластик,вайфарер,янтарный,коричневый,,20,4960,6290.00,5700,5700,20,"Купить Очки для компьютера (для геймеров) GUNNAR Intercept 24K INT-07001, Dark Ale(int-07001) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR Intercept 24K INT-07001, Dark Ale ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"INT-00103/1.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept Crystalline INT-00103, Onyx;}///INT-00103/2.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept Crystalline INT-00103, Onyx;}///INT-00103/3.jpg#{[ru]:Очки для компьютера (для геймеров) GUNNAR Intercept Crystalline INT-00103, Onyx;}",Gunnar,Очки для геймеров///Gunnar,INT-00103,"Очки для компьютера (для геймеров) GUNNAR Intercept Crystalline INT-00103, Onyx",INT-00103,"Компьютерные очки GUNNAR Intercept обладают универсальной оправой, которая подойдёт большинству людей. 
Характеристики 
Пол: унисекс
Материал линзы: поликарбонат
Ширина линзы: 59 мм
Длина дужки: 132 мм
Мостик носа: 18 мм
Вес: 35 гр.

Линзы в очках GUNNAR для компьютера созданы по уникальной запатентованной технологии I-AMP, включающей в себя ряд компонентов, которые обеспечивают комплексную защиту глаз при длительной работе за экраном монитора или другого цифрового устройства. 
Компоненты технологии I-AMP: 
Форма линз fRACTYL™ (фрактил) имитирует геометрию лица, обеспечивая естественную фокусировку, что позволяет глазным мышцам отдыхать, снимая стресс, вызванный уменьшением дистанции между глазами и монитором. Изогнутая геометрия линз создает максимально плотное прилегание к лицу, что поддерживает естественный уровень влажности глаз. 
Материал линзы diAMIX™ (диАмикс) обладает равномерной однородностью по всей площади линзы без примесей и незаметных глазу вкраплений, 
Цвет линз iONiK улучшает контрастность и отфильтровывает вредное флуоресцентное излучение, снижая интенсивность воздействия видимого света. 
Покрытие линз iFi включает в себя антибликовый и защитный слои, которые предохраняют глаз от ярких вспышек, и минимизируют ущерб линзы от воздействий окружающей среды и механических царапин. ",пластик,вайфарер,бесцветный,черный,,20,4170,5290.00,4790,4790,20,"Купить Очки для компьютера (для геймеров) GUNNAR Intercept Crystalline INT-00103, Onyx(int-00103) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Очки для компьютера (для геймеров) GUNNAR Intercept Crystalline INT-00103, Onyx ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
