Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Материал обивки,Цвет обивки,Подлокотники,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг),Функция кресла-качалки,Страна производитель,Гарантия,"Размеры упаковки, см","Объем упаковки, м3","Вес в упаковке, кг",Вес,Weight
,,,,,,,,,,,,,,,,,,,,,
"SM115_BK/1.png///SM115_BK/2.png///SM115_BK/3.png///SM115_BK/4.png///SM115_BK/5.png
",Игровые кресла///HHGears,SM115_BK,HHGears,Игровое кресло HHGears SM115 (Black),"Технические характесристики

- Модель: SM-115.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 90 кг.
- Покрытие: искусственная кожа
- Класс пневмопатрона: третий.
- Высота: регулируется в диапазоне от 1,16 до 1,26 м.
- Ширина верхней части спинки: 54,5 см.
- Ширина нижней части спинки: 51 см.
- Высота спинки: 79 см.
- Ширина сиденья: 53 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 46 до 56 см.
- Нетто: 17 кг.
- Брутто: 15 кг.
- Размеры упаковочной коробки: 78 х 32 х 65 см
- Рекомендуемый рост пользователя: до 178 см.
- Рекомендуемый вес пользователя: до 90 кг.",SM115_BK,Игровое,Кожа PU,Черный,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,0.16224,17,17,17
"SM115_BBL/1.png///SM115_BBL/2.png///SM115_BBL/3.png///SM115_BBL/4.png///SM115_BBL/5.png
",Игровые кресла///HHGears,SM115_BBL,HHGears,Игровое кресло HHGears SM115 (Black/Blue),"Технические характесристики

- Модель: SM-115.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 90 кг.
- Покрытие: искусственная кожа
- Класс пневмопатрона: третий.
- Высота: регулируется в диапазоне от 1,16 до 1,26 м.
- Ширина верхней части спинки: 54,5 см.
- Ширина нижней части спинки: 51 см.
- Высота спинки: 79 см.
- Ширина сиденья: 53 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 46 до 56 см.
- Нетто: 17 кг.
- Брутто: 15 кг.
- Размеры упаковочной коробки: 78 х 32 х 65 см
- Рекомендуемый рост пользователя: до 178 см.
- Рекомендуемый вес пользователя: до 90 кг.",SM115_BBL,Игровое,Кожа PU,Черный/Синий,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,0.16224,17,17,17
"SM115_BR/1.png///SM115_BR/2.png///SM115_BR/3.png///SM115_BR/4.png///SM115_BR/5.png
",Игровые кресла///HHGears,SM115_BR,HHGears,Игровое кресло HHGears SM115 (Black/Red),"Технические характесристики

- Модель: SM-115.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 90 кг.
- Покрытие: искусственная кожа
- Класс пневмопатрона: третий.
- Высота: регулируется в диапазоне от 1,16 до 1,26 м.
- Ширина верхней части спинки: 54,5 см.
- Ширина нижней части спинки: 51 см.
- Высота спинки: 79 см.
- Ширина сиденья: 53 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 46 до 56 см.
- Нетто: 17 кг.
- Брутто: 15 кг.
- Размеры упаковочной коробки: 78 х 32 х 65 см
- Рекомендуемый рост пользователя: до 178 см.
- Рекомендуемый вес пользователя: до 90 кг.",SM115_BR,Игровое,Кожа PU,Черный/Красный,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,0.16224,17,17,17
"SM115_BG/1.png///SM115_BG/2.png///SM115_BG/3.png///SM115_BG/4.png///SM115_BG/5.png
",Игровые кресла///HHGears,SM115_BG,HHGears,Игровое кресло HHGears SM115 (Black/Green),"Технические характесристики

- Модель: SM-115.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 90 кг.
- Покрытие: искусственная кожа
- Класс пневмопатрона: третий.
- Высота: регулируется в диапазоне от 1,16 до 1,26 м.
- Ширина верхней части спинки: 54,5 см.
- Ширина нижней части спинки: 51 см.
- Высота спинки: 79 см.
- Ширина сиденья: 53 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 46 до 56 см.
- Нетто: 17 кг.
- Брутто: 15 кг.
- Размеры упаковочной коробки: 78 х 32 х 65 см
- Рекомендуемый рост пользователя: до 178 см.
- Рекомендуемый вес пользователя: до 90 кг.",SM115_BG,Игровое,Кожа PU,Черный/Зеленый,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,0.16224,17,17,17
"SM115_BW/1.png///SM115_BW/2.png///SM115_BW/3.png///SM115_BW/4.png///SM115_BW/5.png
",Игровые кресла///HHGears,SM115_BW,HHGears,Игровое кресло HHGears SM115 (Black/White),"Технические характесристики

- Модель: SM-115.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 90 кг.
- Покрытие: искусственная кожа
- Класс пневмопатрона: третий.
- Высота: регулируется в диапазоне от 1,16 до 1,26 м.
- Ширина верхней части спинки: 54,5 см.
- Ширина нижней части спинки: 51 см.
- Высота спинки: 79 см.
- Ширина сиденья: 53 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 46 до 56 см.
- Нетто: 17 кг.
- Брутто: 15 кг.
- Размеры упаковочной коробки: 78 х 32 х 65 см
- Рекомендуемый рост пользователя: до 178 см.
- Рекомендуемый вес пользователя: до 90 кг.",SM115_BW,Игровое,Кожа PU,Черный/Белый,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,0.16224,17,17,17
"XL500_BK/1.png///XL500_BK/2.png///XL500_BK/3.png///XL500_BK/4.png///XL500_BK/5.png///XL500_BK/6.png
",Игровые кресла///HHGears,XL500_BK,HHGears,Игровое кресло HHGears XL500 (Black),"Технические характесристики

- Модель: SM-500.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 130 кг.
- Материалы и компоненты: стальной каркас, специальный пенный наполнитель, металлическое основание, а также покрытие, изготовленное из искусственной кожи.
- Класс пневмопатрона: четвертый.
- Высота: регулируется в диапазоне от 1,26 до 1,36 м.
- Ширина верхней части спинки: 55 см.
- Ширина нижней части спинки: 50 см.
- Высота спинки: 83 см.
- Ширина сиденья: 54 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 47 до 57 см.
- Нетто: 20,5 кг.
- Брутто: 22,5 кг.
- Размеры упаковочной коробки: 83 х 65 х 32,5 см
- Рекомендуемый рост пользователя: до 193 см.
- Рекомендуемый вес пользователя: до 118 кг.",XL500_BK,Игровое,Кожа PU,Черный,3D,Высокая,до 135 градусов,до 130 кг,Есть,Китай,12 месяцев,83 x 65 x 32.5 см,0.1753375,22.5,22.5,22.5
"XL500_BBL/1.png///XL500_BBL/2.png///XL500_BBL/3.png///XL500_BBL/4.png///XL500_BBL/5.png///XL500_BBL/6.png
",Игровые кресла///HHGears,XL500_BBL,HHGears,Игровое кресло HHGears XL500 (Black/Blue),"Технические характесристики

- Модель: SM-500.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 130 кг.
- Материалы и компоненты: стальной каркас, специальный пенный наполнитель, металлическое основание, а также покрытие, изготовленное из искусственной кожи.
- Класс пневмопатрона: четвертый.
- Высота: регулируется в диапазоне от 1,26 до 1,36 м.
- Ширина верхней части спинки: 55 см.
- Ширина нижней части спинки: 50 см.
- Высота спинки: 83 см.
- Ширина сиденья: 54 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 47 до 57 см.
- Нетто: 20,5 кг.
- Брутто: 22,5 кг.
- Размеры упаковочной коробки: 83 х 65 х 32,5 см
- Рекомендуемый рост пользователя: до 193 см.
- Рекомендуемый вес пользователя: до 118 кг.",XL500_BBL,Игровое,Кожа PU,Черный/Синий,3D,Высокая,до 135 градусов,до 130 кг,Есть,Китай,12 месяцев,83 x 65 x 32.5 см,0.1753375,22.5,22.5,22.5
"XL500_BR/1.png///XL500_BR/2.png///XL500_BR/3.png///XL500_BR/4.png///XL500_BR/5.png///XL500_BR/6.png
",Игровые кресла///HHGears,XL500_BR,HHGears,Игровое кресло HHGears XL500 (Black/Red),"Технические характесристики

- Модель: SM-500.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 130 кг.
- Материалы и компоненты: стальной каркас, специальный пенный наполнитель, металлическое основание, а также покрытие, изготовленное из искусственной кожи.
- Класс пневмопатрона: четвертый.
- Высота: регулируется в диапазоне от 1,26 до 1,36 м.
- Ширина верхней части спинки: 55 см.
- Ширина нижней части спинки: 50 см.
- Высота спинки: 83 см.
- Ширина сиденья: 54 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 47 до 57 см.
- Нетто: 20,5 кг.
- Брутто: 22,5 кг.
- Размеры упаковочной коробки: 83 х 65 х 32,5 см
- Рекомендуемый рост пользователя: до 193 см.
- Рекомендуемый вес пользователя: до 118 кг.",XL500_BR,Игровое,Кожа PU,Черный/Красный,3D,Высокая,до 135 градусов,до 130 кг,Есть,Китай,12 месяцев,83 x 65 x 32.5 см,0.1753375,22.5,22.5,22.5
"XL500_BG/1.png///XL500_BG/2.png///XL500_BG/3.png///XL500_BG/4.png///XL500_BG/5.png///XL500_BG/6.png
",Игровые кресла///HHGears,XL500_BG,HHGears,Игровое кресло HHGears XL500 (Black/Green),"Технические характесристики

- Модель: SM-500.
- Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.
- Выдерживаемый вес: до 130 кг.
- Материалы и компоненты: стальной каркас, специальный пенный наполнитель, металлическое основание, а также покрытие, изготовленное из искусственной кожи.
- Класс пневмопатрона: четвертый.
- Высота: регулируется в диапазоне от 1,26 до 1,36 м.
- Ширина верхней части спинки: 55 см.
- Ширина нижней части спинки: 50 см.
- Высота спинки: 83 см.
- Ширина сиденья: 54 см.
- Глубина сиденья: 48,5 см.
- Высота сиденья: регулируется в диапазоне от 47 до 57 см.
- Нетто: 20,5 кг.
- Брутто: 22,5 кг.
- Размеры упаковочной коробки: 83 х 65 х 32,5 см
- Рекомендуемый рост пользователя: до 193 см.
- Рекомендуемый вес пользователя: до 118 кг.",XL500_BG,Игровое,Кожа PU,Черный/Зеленый,3D,Высокая,до 135 градусов,до 130 кг,Есть,Китай,12 месяцев,83 x 65 x 32.5 см,0.1753375,22.5,22.5,22.5
