Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,EAN,Тип кресла,Основной материал,Материал базы,Допустимая нагрузка,Высота,Высота сиденья,Ширина спинки в плечах,Ширина спинки,Ширина сиденья,Глубина сиденья,Откидывание спинки,Вес,Размер упаковки,Гарантия,"Объем, м3",Weight,ProductCodeToFind,Existance,Diller price,Max price,Shop price,Recommend price,Existance for filters,Page title,Meta description,Meta keywords

"VG-SL2000_CB/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (CARBON);}///VG-SL2000_CB/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (CARBON);}///VG-SL2000_CB/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (CARBON);}///VG-SL2000_CB/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (CARBON);}///VG-SL2000_CB/5.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (CARBON);}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_CB,Vertagear,Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (CARBON),"<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_CB,617724128080,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 × 67 × 34 см,2 года,,26.5 кг,,30,18893,26990,21720,21720,30,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_cb) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"VG-SL2000_BL/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Blue)
;}///VG-SL2000_BL/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Blue)
;}///VG-SL2000_BL/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Blue)
;}///VG-SL2000_BL/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Blue)
;}///VG-SL2000_BL/5.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Blue)
;}///VG-SL2000_BL/6.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Blue)
;}///VG-SL2000_BL/7.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Blue)
;}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_BL,Vertagear,"Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Blue)
","<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_BL,617724127601,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг,,10,18893,26990,21720,21720,10,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_bl) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"VG-SL2000_RD/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Red);}///VG-SL2000_RD/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Red);}///VG-SL2000_RD/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Red);}///VG-SL2000_RD/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Red);}///VG-SL2000_RD/5.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Red);}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_RD,Vertagear,Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Red),"<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_RD,617724127618,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг,,0,18893,26990,21720,21720,0,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_rd) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"VG-SL2000_GR/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Green);}///VG-SL2000_GR/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Green);}///VG-SL2000_GR/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Green);}///VG-SL2000_GR/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Green);}///VG-SL2000_GR/5.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Green);}///VG-SL2000_GR/6.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Green);}///VG-SL2000_GR/7.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Green);}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_GR,Vertagear,Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Green),"<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_GR,617724127625,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг,,20,18893,26990,21720,21720,20,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_gr) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"VG-SL2000_WT/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White);}///VG-SL2000_WT/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White);}///VG-SL2000_WT/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White);}///VG-SL2000_WT/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White);}///VG-SL2000_WT/5.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White);}///VG-SL2000_WT/6.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White);}///VG-SL2000_WT/7.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White);}///VG-SL2000_WT/8.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White);}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_WT,Vertagear,Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/White),"<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_WT,617724127632,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг,,0,18893,26990,21720,21720,0,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_wt) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"VG-SL2000_PK/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Pink);}///VG-SL2000_PK/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Pink);}///VG-SL2000_PK/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Pink);}///VG-SL2000_PK/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Pink);}///VG-SL2000_PK/5.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Pink);}///VG-SL2000_PK/6.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Pink);}///VG-SL2000_PK/7.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Pink);}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_PK,Vertagear,Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Pink),"<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_PK,617724129582,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг,,10,18893,26990,21720,21720,10,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_pk) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"VG-SL2000_BP/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Purple);}///VG-SL2000_BP/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Purple);}///VG-SL2000_BP/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Purple);}///VG-SL2000_BP/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Purple);}///VG-SL2000_BP/5.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Purple);}///VG-SL2000_BP/6.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Purple);}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_BP,Vertagear,Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (Black/Purple),"<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_BP,617724128844,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг,,0,18893,26990,21720,21720,0,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_bp) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"VG-SL2000_WBL/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Blue);}///VG-SL2000_WBL/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Blue);}///VG-SL2000_WBL/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Blue);}///VG-SL2000_WBL/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Blue);}///VG-SL2000_WBL/5.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Blue);}///VG-SL2000_WBL/6.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Blue);}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_WBL,Vertagear,Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Blue),"<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_WBL,617724127717,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг,,10,18893,26990,21720,21720,10,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_wbl) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"VG-SL2000_WRD/1.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Red);}///VG-SL2000_WRD/2.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Red);}///VG-SL2000_WRD/3.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Red);}///VG-SL2000_WRD/4.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Red);}///VG-SL2000_WRD/5.jpg#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Red);}///VG-SL2000_WRD/6.jpg
#{[ru]:Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Red);}",Кресла для геймеров///Кресла Vertagear,VG-SL2000_WRD,Vertagear,Игровое компьютерное кресло Vertagear Racing S-Line SL2000 (White/Red),"<p><strong>Vertagear SL2000</strong> – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.
</p>
<p>SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.
</p>
<p>Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.
</p>",VG-SL2000_WRD,617724127724,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг,,10,18893,26990,21720,21720,10,Купить Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition(vg-sl2000_wrd) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Vertagear Gaming Triigger Line 350 Special Paint Red Edition ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
