Thumbnail,Files,Category,Название,Артикул,Product code,Описание,Тип клавиатуры,Тип переключателей,Клавиши Anti-ghost,Интерфейс,Подсветка,Встроенная память,Встроенный USB-порт,Встроенные аудио-входы,Дополнительные макроклавиши,Мультимедиа клавиши,Подставка для рук,Укладка кабеля,Длина провода,Вес,Размеры,Гарантия
,,,,,,,,,,,,,,,,,,,,,,
RZ84-01470200-B3R1/6.png,"RZ84-01470200-B3R1/1.png,
RZ84-01470200-B3R1/2.png,
RZ84-01470200-B3R1/3.png,
RZ84-01470200-B3R1/4.png,
RZ84-01470200-B3R1/5.png,
RZ84-01470200-B3R1/6.png,
RZ84-01470200-B3R1/7.png,
RZ84-01470200-B3R1/8.png,
RZ84-01470200-B3R1/9.png,
RZ84-01470200-B3R1/10.png,
RZ84-01470200-B3R1/11.png,
RZ84-01470200-B3R1/12.png,
RZ84-01470200-B3R1/13.png",Клавиатуры,Razer Cynosa Pro Bundle (клавиатура + мышь),RZ84-01470200-B3R1,RZ84-01470200-B3R1,"
Набор Razer Cynosa Pro Bundle из клавиатуры Razer Cynosa Pro и мыши Razer DeathAdder, разработанный специально для игр, поможет вам поднять свою игру на совершенно новый уровень. Мембранные клавиши игрового уровня с тактильной обратной связью клавиатуры Razer Cynosa Pro и оптический сенсор с разрешением 2000 dpi мыши Razer DeathAdder обеспечивают надежность и точность в игре, и сделают вас вне конкуренции. С потрясающими световыми эффектами, которые легко синхронизируются между устройствами, этот набор клавиатуры и мыши поможет вам красиво проложить свой путь к победе.


Тихие мембранные клавиши игрового уровня
Разработанные специально для игр, мембранные клавиши клавиатуры Razer Cynosa Pro, всегда обеспечивают высокую производительность игрового уровня и невероятную тишину при нажатии. С каждым нажатием вы будете ощущать ход клавиши и упругую тактильную обратную связь, благодаря которым вы наносите удары с убийственной точностью даже в самых сложных поединках. Визуально клавиши клавиатуры Razer Cynosa Pro выглядят как механические, ход клавиши напоминает механизм Cherry MX Red, но при этом они совершенно тихие.


Влагозащищенная конструкция
Прочная влагозащищенная конструкция убережет вашу клавиатуру от случайных проливаний напитков, когда от горячих схваток пересыхает горло, а от напряженного боя трясутся руки. Колпачки клавиш легко снимаются и клавиатуру можно протереть. Под душем с ней не играть, клавиатуру в воду не опускать.


Оптический сенсор 2000 dpi
Мышь Razer DeathAdder оснащена, популярным среди прогеймеров, высокоточным оптическим сенсором 2000 dpi без интерполяции. Эталонный эргономичный дизайн, быстрота реакции и надежная конструкция – эта легендарная мышь воплощает в себе все самое лучшее, что понадобится геймеру для доминирования в игре.


Синхронизация подсветки между устройствами
Простая синхронизация ваших устройств Razer Cynosa Pro и Razer DeathAdder в программе Razer Synapse. Благодаря эффекту живой подсветки вы сможете выбирать желаемый цвет и регулировать яркость подсветки ваших «смертоносных» устройств. Они будут загораться и потухать как единый дышащий организм.


Razer Synapse 2.0 
Новейшее запатентованное программное обеспечение, ""мозг"" игровой периферии Razer – автоматически подключающее клавиатуру и мышь к удаленному серверу для скачивания драйвера и обновлений прошивки, а также автоматически сохраняющее индивидуальные игровые настройки. Больше не нужно возиться с настройками клавиатуры и мыши на турнирах, в клубе или у друзей – подключайтесь к Razer Synapse 2.0 из любого места и установите на вашу клавиатуру нужные настройки и макросы.

Игровая клавиатура Razer Cynosa Pro
Мембранные клавиши игрового уровня
Влагозащищенная прочная конструкция
Трехцветная LED подсветка с тремя уровнями яркости
3 эффекта подсветки: Статичный цвет, Дыхание и Трехцветное дыхание
3 цвета подсветки: Зеленый, Синий, Бирюзовый
Полная подсветка русских букв (смотрите изображения во вкладке «Галерея»)
Полностью программируемые клавиши с возможностью записи макросов «на лету»
Специальный игровой режим с отключением клавиши Windows и комбинаций клавиш Alt + Tab и Alt + F4
Оптимизированная матрица клавиш
Поддержка Razer Synapse
Кабель USB в защитной тканевой оплетке длиной 2,1 метра
Размеры: 457 мм (длина) x  174 мм (ширина) x 32,8 мм (толщина)
Вес: 878 г
Игровая мышь Razer DeathAdder
Эргономичный дизайн с прорезиненными боковыми вставками для правшей
Оптический сенсор с разрешением 2000 dpi
Трехцветная LED подсветка с тремя уровнями яркости
Три эффекта подсветки: Статичный цвет, Дыхание и Трехцветное дыхание
5 независимо программируемых кнопок с технологией быстрого отклика Hyperesponse
Настройка чувствительности «на лету»
Режим постоянной готовности
Частота опроса Ultrapolling 1000 Гц
Бесшумные гладкие ножки Ultraslick
Облегченный кабель в защитной тканевой оплетке длиной 2,1 метра
Поддержка Razer Synapse
Размеры: 127 мм (длина) x  70 мм (ширина) x 44 мм (толщина)
Вес: 105 г

Системные требования:
ПК с USB-портом
Cписок актуальных поддерживаемых операционных систем указан по ссылке
Подключение к Интернету (для установки драйвера)
Не менее 200 МБ свободного места на жестком диске
Чтобы использовать полный набор функций продукта и для получения обновлений программного обеспечения, потребуется регистрация аккаунта в Razer Synapse 2.0 (нужен действующий адрес электронной почты), скачивание программного обеспечения, принятие лицензионного соглашения и подключение к интернету. После активации, полный набор функций продукта доступен и в дополнительном автономном режиме.



",Мембранная,,,Usb,3 цвета,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1265 г,585 x 218 x 54 мм,
,,Клавиатуры,Razer Cynosa Chroma,RZ03-02260800-R3R1,RZ03-02260800-R3R1,"
Абсотютный гейминг. Бесконечная подсветка
Игровая клавиатура с мягкими, упругими клавишами. Если вы думаете, что клавиатура базового уровня не могла стать лучше, предлагаем вам подумать снова. Мы оставили все необходимое в клавиатуре Razer Cynosa Chroma, добавив новые возможности. Теперь она полностью готова к игре с индивидуальной подсветкой клавиш, поэтому у вас будет больше простора для настройки.

Razer Cynosa Chroma — это клавиатура игрового уровня, оснащенная всем необходим для игрока. Клавиатура имеет мягкие, упругие и индивидуально программируемые клавиши с подсветкой на базе Razer Chroma, а также влагозащищенную конструкцию, которая обеспечит сохранность вашей клавиатуры.


На базе технологии подсветки Razer Chroma™
Индивидуально программируемые клавиши с подсветкой и возможностью выбора 16,8 млн. оттенков цветов. Выберите один из готовых эффектов подсветки или создайте собственную уникальную палитру цветов в соответствии с собственным вкусом — все это с легкостью настраивается с помощью Razer Synapse 3 (бета-версия).


Игры которые поддерживают Razer Chroma
Посмотрите здесь список игр поддерживающих подсветку Razer Chroma, и посмотрите видео с примерами подсветки и световых эффектов.


Клавиши игрового уровня, с мягким и упругим ходом
Гладкие. Тихие. Быстрые. Наши мягкие и упругие игровые клавиши обеспечивают удобное нажатие и усовершенствованную поддержку по сравнению с клавиатурами на основе резиновой мембраны, поэтому каждое нажатие имеет четкое срабатывание. Каждое нажатие характеризуется полным и четким ходом клавиши, поэтому вы можете быть уверены в предельной точности действий в любой игре.


Защищена от проливания жидкости
Не бойтесь, если во время напряженного матча эмоции возьмут верх. Благодаря влагозащищенной конструкции Razer Cynosa Chroma выдержит случайное проливание жидкости, так что ваша клавиатура будет служить значительно дольше.


Настоящая индивидуальность
Наконец-то появилась клавиатура, которую можно действительно назвать «своей». Благодаря Razer Synapse 3 (бета-версия) вы можете переназначать функции клавиш, привязывать к ним макросы, настраивать подсветку устройства и другие составляющие, чтобы сделать игровой процесс именно таким, какой нужен вам. Этот единый инструмент для конфигурирования оборудования не знает границ, поэтому дайте волю воображению.


Гарантированная регистрация каждого нажатия
Или десяти. Благодаря встроенной поддержке одновременного нажатия 10 клавиш и подавления фантомных нажатий, все ваши нажатия будут зарегистрированы, так что вы сможете выполнять до 10 команд одновременно. Пусть ваши пальцы скользят по клавиатуре, пока вы управляете игровым процессом.
Системные требования
ПК со свободным USB-портом
Windows® 7 64-bit (или более поздняя версия)
Подключение к Интернету (для установки драйверов)
200 Мбайт свободного места на жестком диске
Чтобы использовать полный набор функций продукта и для получения обновлений программного обеспечения, потребуется регистрация аккаунта в Razer Synapse 3 (нужен действующий адрес электронной почты), скачивание программного обеспечения, принятие лицензионного соглашения и подключение к интернету. После активации полный набор функций продукта доступен и в дополнительном автономном режиме.",Мембранная,,10 клавиш,USB,16 млн. цветов,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,960 гр,463 x 154 x 31 мм,
,,Клавиатуры,Razer Ornata,RZ03-02042300-R3R1,RZ03-02042300-R3R1,"
В игровой клавиатуре Razer Ornata используются новые механическо-мембранные переключатели Razer™ Mecha-Membrane, которые объединяют лучшие свойства клавиатуры с переключателями на резиновых мембранах и механических переключателей, обеспечивая непревзойденную работу клавиатуры. Традиционные клавиатуры с переключателями на резиновых мембранах обладают мягким нажатием, которое, однако, не позволяет добиться высокой степени точности из-за ощущения мягкости и недостаточной регулировки точности срабатывания. 

Результатом многолетних исследований и разработок является революционная патентная заявка на механическо-мембранные переключатели Razer™ Mecha-Membrane, которые объединяет лучшие свойства обеих технологий: тихое мягкое нажатие с четким тактильным щелчком со средней высотой клавиш, позволяющая вашим пальцам лететь по клавиатуре и гарантирующая, что каждая команда выполняется мгновенно.


Механическо-мембранные переключатели Razer™ Mecha-Membrane*
Разработанные c нуля, механическо-мембранные переключатели Razer™ Mecha-Membrane объединяют тихое мягкое нажатие переключателей на резиновых мембранах и четкий тактильный щелчок механических переключателей для быстрого срабатывания при каждом нажатии клавиш.
* – подана патентная заявка


Средняя высота клавиш – для ускоренного срабатывания
Razer Ornata использует индивидуально разработанный колпачок клавиши, специально уменьшенный, чтобы сократить время, необходимое для срабатывания, позволяя вашим пальцам быстро двигаться, не пропуская ни одного удара.


Клавиши с индивидуальной подсветкой и световыми эффектами
Новая клавиатура Razer Ornata оснащена клавишами с индивидуально программируемыми динамическими эффектами подсветки, которые можно настраивать с помощью Razer Synapse.


Эргономичная подставка для запястья – для комфорта в игре
Специально разработанная для Razer Ornata эргономичная подставка для запястья всегда обеспечивает комфорт даже в самых напряженных игровых марафонах.


Одновременное нажатие 10 клавиш в игровом режиме
Не промахнуться мимо одной клавиши — легко. Мимо десяти — тоже не проблема. Встроенная система подавления фантомных нажатий Razer Ornata позволяет отдавать до десяти команд одновременно — и все они будут исполнены в точности.",Механическая/Мембранная,Razer Mecha-Membrane,10,USB,Зеленая,Нет,Нет,Нет,Нет,Да,Да,Нет,"1,8 м",1260 гр,463 x 224 x 31 мм,
,,Клавиатуры,Razer Ornata Chroma,RZ03-02040700-R3R1,RZ03-02040700-R3R1,"
В Razer Ornata Chroma используются новые механическо-мембранные переключатели Razer™ Mecha-Membrane, которые объединяют лучшие свойства клавиатуры с переключателями на резиновых мембранах и механических переключателей, обеспечивая непревзойденную работу клавиатуры. Традиционные клавиатуры с переключателями на резиновых мембранах обладают мягким нажатием, которое, однако, не позволяет добиться высокой степени точности из-за ощущения мягкости и недостаточной регулировки точности срабатывания. С другой стороны, механические переключатели обеспечивают быстрое срабатывание клавиш с четким тактильным ответом, но вызывают усталость во время игры.

Результатом многолетних исследований и разработок является революционная патентная заявка на механическо-мембранные переключатели Razer™ Mecha-Membrane, которая объединяет лучшие свойства обеих технологий: тихое мягкое нажатие с четким тактильным щелчком со средней высотой клавиш, позволяя вашим пальцам лететь по клавиатуре и гарантируя мгновенное выполнение каждой команды.
Механическо-мембранные переключатели Razer™ Mecha-Membrane*
Разработанные c нуля, механическо-мембранные переключатели Razer™ Mecha-Membrane объединяют тихое мягкое нажатие переключателей на резиновых мембранах и четкий тактильный щелчок механических переключателей для быстрого срабатывания при каждом нажатии клавиш.
* – подана патентная заявка

Средняя высота клавиш – для ускоренного срабатывания
Razer Ornata Chroma использует индивидуально разработанный колпачок клавиши, специально уменьшенный, чтобы сократить время, необходимое для срабатывания, позволяя вашим пальцам быстро двигаться, не пропуская ни одного удара.

Подсветка Razer Chroma™ с настройкой 16.8 млн. оттенков
Razer Ornata Chroma с поддержкой Razer Chroma выходит за рамки возможного, создавая и отображая невероятные световые эффекты. Интерактивные эффекты в игре позволяют вам испытывать более яркие впечатления от процесса благодаря моментальному отклику вашей клавиатуры.

Эргономичная подставка для запястья – комфорт в игре
Специально разработанная для Razer Ornata Chroma эргономичная подставка для запястья обеспечит комфорт даже в самых напряженных игровых марафонах.

Одновременное нажатие 10 клавиш в игровом режиме
Не промахнуться мимо одной клавиши — легко. Мимо десяти — тоже не проблема. Встроенная система подавления фантомных нажатий Razer Ornata Chroma позволяет отдавать до десяти команд одновременно — и все они будут исполнены в точности.

Синхронизация устройств – при поддержке Razer Chroma™
Вы можете синхронизировать все периферийные устройства, поддерживающие Razer Chroma, выбрав любимый оттенок зеленого или психоделическую палитру, чтобы эффект отображался по всем элементам рабочего места. Возможности ограничены только вашим воображением, вам доступны поистине впечатляющие визуальные эффекты, преобразующие клавиатуру, гарнитуру, мышь и даже коврик для мыши в единое целое.

Используй готовые и создавай свои световые эффекты в Chroma Workshop
С помощью библиотеки Chroma Workshop вы можете скачать готовые шаблоны световых эффектов для разных игр, для других программ и просто необычные световые эффекты. На портале для разработчиков Razer Chroma Developer Portal вы сможете получить необходимые SDK для создания своих световых эффектов и встраивания их в свои игры.

Системные требования
ПК или Mac со свободным USB портом
Cписок актуальных поддерживаемых операционных систем указан по ссылке
Интернет соединение (для установки драйверов)
Свободное место на жестком диске: 200 Мбайт
Чтобы использовать полный набор функций продукта и для получения обновлений программного обеспечения, потребуется регистрация аккаунта в Razer Synapse 2.0 (нужен действующий адрес электронной почты), скачивание программного обеспечения, принятие лицензионного соглашения и подключение к интернету. После активации полный набор функций продукта доступен и в дополнительном автономном режиме.



",Механическая/Мембранная,Razer Mecha-Membrane,10,Usb,"16,8 млн",Нет,Нет,Нет,Нет,Да,Да,Нет,1.8 м,1260 гр,463 x 224 x 31 мм,
,,Клавиатуры,Razer Huntsman,RZ03-02521100-R3R1,RZ03-02521100-R3R1,"НОВЫЙ ОПТИКО-МЕХАНИЧЕСКИЙ ПЕРЕКЛЮЧАТЕЛЬ
Оптико-механические переключатели оснащены оптическим датчиком света. В момент нажатия клавиши, вы активируете приемник сигнала и команда переключателя срабатывает мгновенно. Никогда еще срабатывание не было столь быстрым

БЫСТРОЕ СРАБАТЫВАНИЕ
Благодаря высокой скорости срабатывания вы сможете увеличить свой APM (Action per minute) во время динамичных игр.
МЯГКИЙ И ЩЕЛКАЮЩИЙ
Получите знакомый щелчок, которым вы наслаждаетесь наравне с супер легким и сбалансированным нажатием клавиши. Действительно лучшее сочетание.
СТАБИЛИЗАТОР КЛАВИШИ
Стабилизатор клавиши в верхней части переключателя гарантирует, что движение останется ровным и последовательным, независимо от того, на какую часть клавиши пришлось нажатие.
БОЛЬШЕ ПРОЧНОСТИ
Благодаря оптическому приводу, обеспечивающего меньший физический контакт, вы получаете долговечность до 100 млн нажатий, что вдвое выше возможностей стандартных механизмов.

ОДНОВРЕМЕННОЕ НАЖАТИЕ 10 КЛАВИШ
Подавление фантомных нажатий при одновременном нажатии 10 клавиш
ИГРОВОЙ РЕЖИМ
Убедитесь в том, что вы никогда не нажмете не ту клавишу.
ЗАПИСЬ МАКРОСОВ НА ЛЕТУ
Настраивайте и объединяйте макросы для максимального контроля в игре
RAZER HYPERSHIFT
Нажмите одну кнопку, чтобы разблокировать дополнительный набор функций управления
АЛЮМИНИЕВЫЙ СПЛАВ
Алюминиевый сплав обладает повышенной прочностью с тактильно гладким, приятным прикосновением.
RAZER SYNAPSE 3
Разблокируйте расширенные настройки от команд до эффектов устройств с помощью Razer Chroma ™",оптико-механический,Razer Opto-Mechanical,,Usb,"16,8 млн",Да,Нет,Нет,Да,Нет,Нет,Нет,,860 гр,445 x 140 x 37 мм,
,,Клавиатуры,Razer Huntsman Elite,RZ03-01870100-R3M1,RZ03-01870100-R3M1,"НОВЫЙ ОПТИКО-МЕХАНИЧЕСКИЙ ПЕРЕКЛЮЧАТЕЛЬ
Оптико-механические переключатели оснащены оптическим датчиком света. В момент нажатия клавиши, вы активируете приемник сигнала и команда переключателя срабатывает мгновенно. Никогда еще срабатывание не было столь быстрым
БЫСТРОЕ СРАБАТЫВАНИЕ
Благодаря высокой скорости срабатывания вы сможете увеличить свой APM (Action per minute) во время динамичных игр.
МЯГКИЙ И ЩЕЛКАЮЩИЙ
Получите знакомый щелчок, которым вы наслаждаетесь наравне с супер легким и сбалансированным нажатием клавиши. Действительно лучшее сочетание.
СТАБИЛИЗАТОР КЛАВИШИ
Стабилизатор клавиши в верхней части переключателя гарантирует, что движение останется ровным и последовательным, независимо от того, на какую часть клавиши пришлось нажатие.
БОЛЬШЕ ПРОЧНОСТИ
Благодаря оптическому приводу, обеспечивающего меньший физический контакт, вы получаете долговечность до 100 млн нажатий, что вдвое выше возможностей стандартных механизмов.
МНОГОФУНКЦИОНАЛЬНЫЙ ЦИФРОВОЙ БЛОК
Управление клавиатурой стало намного быстрее. Многофункциональный цифровой блок с тремя тактильными клавишами открывает доступ ко всему, начиная с настройки яркости подсветки. Все программируется и настраивается с помощью Synapse 3 - Вы сможете настроить предпочтительные конфигурации прямо под рукой.
ПОДСВЕТКА С ЧЕТЫРЕХ СТОРОН
Настраивайте световые эффекты любым способов, используя 4-й стороннюю подсветку в 38 различных зонах. Поддержка Razer Chroma™
ПОДСТАВКА ПОД ЗАПЯСТЬЯ ИЗ ИСКУССТВЕННОЙ КОЖИ
Магнитная подставка под запястья фиксируется на передней части клавиатуры. Изготовлена из искусственной кожи для длительного комфорта. Главной особенностью является подсветка Chroma в 20 зонах
ВСТРОЕННАЯ ПАМЯТЬ И ОБЛАЧНОЕ ХРАНИЛИЩЕ
Перенастройте кнопки и сохраните все настройки профилей с помощью облачного хранилища или до 5 профилей в встроенную память клавиатуры
ОДНОВРЕМЕННОЕ НАЖАТИЕ 10 КЛАВИШ
Подавление фантомных нажатий при одновременном нажатии 10 клавиш
ИГРОВОЙ РЕЖИМ
Убедитесь в том, что вы никогда не нажмете не ту клавишу.
ЗАПИСЬ МАКРОСОВ НА ЛЕТУ
Подавление фантомных нажатий при одновременном нажатии 10 клавиш
RAZER HYPERSHIFT
Нажмите одну кнопку, чтобы разблокировать дополнительный набор функций на кнопки управления
АЛЮМИНИЕВЫЙ СПЛАВ
Сплав алюминия обладает повышенной прочностью с тактильно гладким, приятным прикосновением.
RAZER SYNAPSE 3
Разблокируйте расширенные настройки от команд до эффектов устройств с помощью Razer Chroma ™

",оптико-механический,Razer Opto-Mechanical,,Usb,"16,8 млн",Да,Нет,Нет,Да,Да,да,Нет,,1223 гр (1706 гр с подставкой),448 x 140 x 37 мм (448 х 230 х 37 мм с подставкой),
,,Клавиатуры,Razer BlackWidow X Tournament,RZ03-01770400-R3R1,RZ03-01770400-R3R1,"
Лаконичная конструкция, без верхней декоративной рамки, укороченной клавиатуры Razer BlackWidow X Tournament обеспечивает высочайшую эффективность работы, не уступающую премиальной версии Razer BlackWidow Tournament. Внешний каркас изготовлен из металла, используемого в военной промышленности, он отлично выглядит и гарантированно выдержит проверку временем.

Отмеченные многочисленными наградами механические переключатели Razer™
Новые механические переключатели Razer, созданные специально для игровых клавиатур, обладают наиболее подходящими для игр характеристиками срабатывания и непревзойденной чувствительностью. С момента своего появления механические переключатели Razer были провозглашены новым стандартом для всех механических игровых клавиатур.

Увеличенный срок службы
Механические переключатели Razer неоднократно показывали себя как наиболее удобные для игр, обеспечивая высочайший уровень качества и надежности без компромиссов. Все элементы переключателей Razer данной технологии и конструкции теперь полностью производятся мощностями самой компании Razer, что гарантирует соблюдение самых строгих требований к каждому изготовленному переключателю и обеспечивает износоустойчивость вплоть до 80 миллионов нажатий.

Безрамочная конструкция
Отсутствие верхней декоративной пластиковой рамки обнажает жесткую металлическую основу игровой клавиатуры Razer BlackWidow X Tournament, придавая ей неповторимый лаконичный облик холодного оружия. Металлическая пластина, на которой закреплены игровые механические переключатели Razer Green, специальным образом обработана и на её поверхности не остается следов от пальцев.

Совершенство изготовления
Внешний вид клавиатуры Razer BlackWidow X Tournament претерпел значительные изменения — ее корпус приобрел обтекаемость и компактный размер. Клавиатура Razer BlackWidow X Tournament изготовлена из металла, используемого в военной промышленности, и ее полированный корпус, прочный и надежный, гарантирует высочайшее удобство работы даже во время наиболее напряженных сражений.
Системные требования
ПК или Mac со свободным USB портом
Windows® 10 / Windows® 8 / Windows® 7 / Mac OS X (10.8 или выше)
Интернет соединение (для установки драйверов)
Свободное место на жестком диске 200 Мбайт
Чтобы использовать полный набор функций продукта и для получения обновлений программного обеспечения, потребуется регистрация аккаунта в Razer Synapse 2.0 (нужен действующий адрес электронной почты), скачивание программного обеспечения, принятие лицензионного соглашения и подключение к интернету. После активации, полный набор функций продукта доступен и в дополнительном автономном режиме.",Механическая,Razer Green Switch,10,Usb,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,1.8м,950 г,366 x 154 x 39 мм,
,,Клавиатуры,Razer BlackWidow Tournament 2014,RZ03-00811900-R3R1,RZ03-00811900-R3R1,"Лаконичная конструкция, без верхней декоративной рамки, клавиатуры Razer BlackWidow X обеспечивает высочайшую эффективность работы. Внешний каркас изготовлен из металла, используемого в военной промышленности, он отлично выглядит и гарантированно выдержит проверку временем.

В то время как традиционные механические переключатели в основном предназначены для печати, механические переключатели Razer™ были изначально спроектированы специально для игры. Эти переключатели обеспечивают моментальное срабатывание и невероятную точность нажатия клавиш, чтобы вы никогда не пропустили решающий удар. Механические переключатели Razer™ также отличаются отменной износоустойчивостью – до 80 миллионов нажатий клавиш по сравнению с 50 миллионами нажатий клавиш у обычных механических переключателей. 

Клавиатура Razer BlackWidow X имеет экстремальную функцию подавления фантомных нажатий — в игровом режиме распознавая до 10 одновременно нажатых клавиш, что позволяет вам сокрушать противников, нажимая столько клавиш, сколько пальцев у вас на обеих руках.

Отмеченные многочисленными наградами механические переключатели Razer™
Новые механические переключатели Razer, созданные специально для игровых клавиатур, обладают наиболее удобным характером срабатывания и непревзойденной чувствительностью. С момента своего появления механические переключатели Razer были провозглашены новым стандартом для всех механических игровых клавиатур.

Увеличенный срок службы
Механические переключатели Razer неоднократно показывали себя как наиболее удобные для игр, обеспечивая высочайший уровень качества и надежности без компромиссов. Все элементы переключателей Razer данной технологии и конструкции теперь полностью производятся мощностями самой компании Razer, что гарантирует соблюдение самых строгих требований к каждому изготовленному переключателю и обеспечивает износоустойчивость вплоть до 80 миллионов нажатий.

Безрамочная конструкция
Отсутствие верхней декоративной пластиковой рамки обнажает жесткую металлическую основу игровой клавиатуры Razer BlackWidow X, придавая ей неповторимый лаконичный облик холодного оружия. Металлическая пластина, на которой закреплены игровые механические переключатели Razer Green, специальным образом обработана и на её поверхности не остается следов от пальцев.

Одновременное нажатие 10 клавиш
Максимальное подавление фантомных нажатий при одновременном нажатии 10 клавиш в игровом режиме позволяет вам уничтожать противника, нажимая столько клавиш, сколько пальцев у вас на обеих руках.

Системные требования
ПК или Mac со свободным USB портом
Cписок актуальных поддерживаемых операционных систем указан по ссылке
Интернет соединение (для установки драйверов)
Свободное место на жестком диске 200 Мбайт
Чтобы использовать полный набор функций продукта и для получения обновлений программного обеспечения, потребуется регистрация аккаунта в Razer Synapse 2.0 (нужен действующий адрес электронной почты), скачивание программного обеспечения, принятие лицензионного соглашения и подключение к интернету. После активации, полный набор функций продукта доступен и в дополнительном автономном режиме.",Механическая,Razer Green Switch,10,Usb,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,1.8м,1420 гр,459 x 156 x 41 мм,
,,Клавиатуры,Razer BlackWidow Ultimate 2016,RZ03-01700700-R3R1,RZ03-01700700-R3R1,"Клавиатура Razer BlackWidow Ultimate 2016 оснащена новыми механическими переключателями Razer™ Green Switch. Они были разработаны с нуля для повышения скорости и реакции игровой клавиатуры Razer BlackWidow до значений, существенно превышающих возможности предыдущих поколений механических переключателей.

Возможности клавиатуры Razer BlackWidow Ultimate 2016 были протестированы и подтверждены лучшими киберспортсменами в самых сложных соревнованиях. Механические переключатели Razer характеризуются оптимальным расстоянием срабатывания для точной игры. Также их отличает повышенная устойчивость к выполнению скоростного набора команд по сравнению со стандартными механическими переключателями, разработанными для печати более десяти лет назад.

Теперь полностью программируемые клавиши поддерживают различные эффекты динамичной индивидуальной подсветки и предоставляют игрокам полный контроль над системой освещения клавиатуры для максимально персонализированной игры.

Отмеченные множеством наград механические переключатели Razer™ Green Switch
Механические переключатели Razer, созданные специально для игровых клавиатур, срабатывают на оптимальном расстоянии, давая вам непревзойдённую скорость реакции. С момента их появления, механические переключатели Razer стали новым стандартом для всех механических игровых клавиатур.
Особенностью этого механизма является ярко выраженный щелчок при нажатии на клавиши, что позволяет четко воспринимать отклик на каждое ваше действие.

Повышенная износостойкость
Механические переключатели Razer выдерживают до 60 миллионов нажатий в любом, даже самом длительном и напряженном игровом марафоне, поэтому вы сможете пользоваться всеми преимуществами Razer в течение долгих лет.

Клавиши с динамическим эффектом индивидуальной подсветки
Новая клавиатура Razer BlackWidow Ultimate 2016 оснащена индивидуально программируемыми клавишами с динамическими эффектами индивидуальной подсветки, которые можно настраивать с помощью Razer Synapse.

Системные требования
ПК с USB портом
Cписок актуальных поддерживаемых операционных систем указан по ссылке
Интернет соединение (для установки драйверов)
Свободное место на жестком диске: 200 Мбайт
Чтобы использовать полный набор функций продукта и для получения обновлений программного обеспечения, потребуется регистрация аккаунта в Razer Synapse 2.0 (нужен действующий адрес электронной почты), скачивание программного обеспечения, принятие лицензионного соглашения и подключение к интернету. После активации полный набор функций продукта доступен и в дополнительном автономном режиме.",Механическая,Razer Green Switch,,Usb,Одноцветная,Нет,Да,Да,Нет,Да,Нет,Нет,1.8м,1380 гр,472 x 171 x 20 мм,
